tx_id,user_id,amount,is_fraud,is_spike
50001,1008,470.19,0,False
50002,1021,458.84,0,False
50003,1110,398.07,0,False
50004,1167,264.41,0,False
50005,1177,347.22,0,False
50006,1050,181.59,0,False
50007,1020,371.18,0,False
50008,1095,277.96,0,False
50009,1149,83.89,0,False
50010,1030,466.72,0,False
50011,1060,270.26,0,False
50012,1131,239.38,0,False
50013,1059,181.49,0,False
50014,1017,311.46,0,False
50015,1147,231.98,0,False
50016,1029,347.23,0,False
50017,1154,294.48,0,False
50018,1098,409.84,0,False
50019,1080,320.72,0,False
50020,1194,376.34,0,False
50021,1083,344.94,0,False
50022,1185,82.59,0,False
50023,1021,70.87,0,False
50024,1175,333.33,0,False
50025,1119,493.75,0,False
50026,1157,372.13,0,False
50027,1197,80.75,0,False
50028,1109,6083.59,1,True
50029,1101,422.52,0,False
50030,1144,55.18,0,False
50031,1081,96.71,0,False
50032,1100,448.21,0,False
50033,1198,471.81,0,False
50034,1093,48.03,0,False
50035,1051,426.63,0,False
50036,1095,431.91,0,False
50037,1178,122.88,0,False
50038,1197,305.76,0,False
50039,1139,319.68,0,False
50040,1157,335.79,0,False
50041,1052,294.97,0,False
50042,1053,362.03,0,False
50043,1183,82.31,0,False
50044,1192,220.43,0,False
50045,1085,8512.41,1,True
50046,1039,447.34,0,False
50047,1095,379.49,0,False
50048,1074,353.58,0,False
50049,1020,225.15,0,False
50050,1060,492.75,0,False
50051,1026,149.09,0,False
50052,1038,165.92,0,False
50053,1120,208.04,0,False
50054,1152,318.09,0,False
50055,1059,286.44,0,False
50056,1014,394.68,0,False
50057,1149,400.26,0,False
50058,1046,203.09,0,False
50059,1189,431.45,0,False
50060,1048,6147.5,1,True
50061,1191,315.18,0,False
50062,1087,348.43,0,False
50063,1151,198.4,0,False
50064,1045,304.39,0,False
50065,1078,31.62,0,False
50066,1185,22.45,0,False
50067,1129,45.86,0,False
50068,1171,305.06,0,False
50069,1075,170.36,0,False
50070,1165,154.02,0,False
50071,1039,408.68,0,False
50072,1135,323.95,0,False
50073,1128,346.34,0,False
50074,1015,220.53,0,False
50075,1124,448.93,0,False
50076,1165,306.49,0,False
50077,1015,394.49,0,False
50078,1106,178.1,0,False
50079,1099,128.52,0,False
50080,1005,222.73,0,False
50081,1190,253.11,0,False
50082,1039,155.06,0,False
50083,1053,75.29,0,False
50084,1195,320.91,0,False
50085,1094,103.26,0,False
50086,1183,161.9,0,False
50087,1160,357.43,0,False
50088,1064,229.3,0,False
50089,1040,488.31,0,False
50090,1189,241.95,0,False
50091,1186,57.54,0,False
50092,1111,331.93,0,False
50093,1152,269.93,0,False
50094,1004,184.38,0,False
50095,1119,234.5,0,False
50096,1045,143.39,0,False
50097,1180,285.23,0,False
50098,1047,460.11,0,False
50099,1136,31.53,0,False
50100,1016,122.42,0,False
50101,1072,90.16,0,False
50102,1134,106.33,0,False
50103,1106,39.74,0,False
50104,1129,489.01,0,False
50105,1032,465.62,0,False
50106,1189,198.81,0,False
50107,1105,149.33,0,False
50108,1124,336.09,0,False
50109,1149,366.16,0,False
50110,1110,86.56,0,False
50111,1016,76.52,0,False
50112,1025,8659.66,1,True
50113,1117,302.38,0,False
50114,1002,416.74,0,False
50115,1062,434.44,0,False
50116,1133,211.23,0,False
50117,1035,302.83,0,False
50118,1161,83.67,0,False
50119,1199,150.25,0,False
50120,1004,499.9,0,False
50121,1122,151.97,0,False
50122,1052,258.95,0,False
50123,1022,39.39,0,False
50124,1068,468.96,0,False
50125,1144,260.88,0,False
50126,1105,450.06,0,False
50127,1104,358.71,0,False
50128,1055,272.67,0,False
50129,1143,254.55,0,False
50130,1152,238.99,0,False
50131,1021,79.06,0,False
50132,1122,400.18,0,False
50133,1020,172.34,0,False
50134,1027,281.22,0,False
50135,1151,155.33,0,False
50136,1165,247.29,0,False
50137,1045,75.25,0,False
50138,1081,166.09,0,False
50139,1174,481.67,0,False
50140,1135,488.96,0,False
50141,1023,40.22,0,False
50142,1136,265.8,0,False
50143,1199,189.49,0,False
50144,1176,282.72,0,False
50145,1079,155.42,0,False
50146,1007,142.06,0,False
50147,1156,268.41,0,False
50148,1190,199.82,0,False
50149,1050,220.86,0,False
50150,1160,38.33,0,False
50151,1082,200.22,0,False
50152,1096,114.6,0,False
50153,1153,92.1,0,False
50154,1098,122.69,0,False
50155,1117,51.12,0,False
50156,1100,440.93,0,False
50157,1172,299.48,0,False
50158,1152,213.45,0,False
50159,1051,448.22,0,False
50160,1143,388.91,0,False
50161,1080,142.66,0,False
50162,1075,60.37,0,False
50163,1060,217.35,0,False
50164,1189,38.81,0,False
50165,1151,349.51,0,False
50166,1048,369.0,0,False
50167,1006,72.54,0,False
50168,1154,493.31,0,False
50169,1127,306.14,0,False
50170,1182,104.13,0,False
50171,1033,211.37,0,False
50172,1104,276.95,0,False
50173,1133,8956.42,1,True
50174,1116,293.24,0,False
50175,1127,13.44,0,False
50176,1078,130.56,0,False
50177,1058,407.49,0,False
50178,1125,329.87,0,False
50179,1074,157.76,0,False
50180,1151,489.42,0,False
50181,1030,486.13,0,False
50182,1107,133.28,0,False
50183,1049,334.87,0,False
50184,1023,168.85,0,False
50185,1082,58.15,0,False
50186,1116,258.01,0,False
50187,1129,346.79,0,False
50188,1149,415.85,0,False
50189,1156,204.55,0,False
50190,1050,266.15,0,False
50191,1143,324.25,0,False
50192,1198,114.26,0,False
50193,1098,491.34,0,False
50194,1049,165.9,0,False
50195,1023,251.18,0,False
50196,1162,431.15,0,False
50197,1012,427.66,0,False
50198,1157,479.62,0,False
50199,1110,115.25,0,False
50200,1199,123.74,0,False
50201,1064,287.27,0,False
50202,1075,337.12,0,False
50203,1071,138.3,0,False
50204,1009,495.4,0,False
50205,1052,385.43,0,False
50206,1168,34.28,0,False
50207,1038,48.05,0,False
50208,1078,473.23,0,False
50209,1137,7396.35,1,True
50210,1188,82.27,0,False
50211,1134,157.09,0,False
50212,1066,410.5,0,False
50213,1125,99.95,0,False
50214,1036,57.06,0,False
50215,1102,178.39,0,False
50216,1062,16.66,0,False
50217,1189,470.15,0,False
50218,1067,484.66,0,False
50219,1155,399.33,0,False
50220,1014,36.2,0,False
50221,1172,182.14,0,False
50222,1104,490.16,0,False
50223,1023,187.78,0,False
50224,1095,309.79,0,False
50225,1197,229.28,0,False
50226,1058,312.92,0,False
50227,1164,223.4,0,False
50228,1087,383.05,0,False
50229,1196,159.18,0,False
50230,1131,410.65,0,False
50231,1139,151.43,0,False
50232,1168,449.78,0,False
50233,1199,292.61,0,False
50234,1037,181.27,0,False
50235,1170,331.45,0,False
50236,1131,170.52,0,False
50237,1066,425.87,0,False
50238,1091,124.86,0,False
50239,1102,251.47,0,False
50240,1016,47.39,0,False
50241,1023,308.43,0,False
50242,1014,381.39,0,False
50243,1026,297.13,0,False
50244,1030,256.2,0,False
50245,1110,360.62,0,False
50246,1090,157.69,0,False
50247,1114,277.82,0,False
50248,1196,458.38,0,False
50249,1150,286.77,0,False
50250,1035,123.45,0,False
50251,1149,400.51,0,False
50252,1010,458.07,0,False
50253,1117,343.74,0,False
50254,1199,250.4,0,False
50255,1038,107.84,0,False
50256,1008,490.19,0,False
50257,1082,80.75,0,False
50258,1063,394.27,0,False
50259,1044,97.52,0,False
50260,1082,266.06,0,False
50261,1019,452.96,0,False
50262,1143,114.65,0,False
50263,1119,122.44,0,False
50264,1061,315.08,0,False
50265,1084,202.71,0,False
50266,1075,7097.81,1,True
50267,1041,44.87,0,False
50268,1178,153.91,0,False
50269,1023,457.71,0,False
50270,1162,391.03,0,False
50271,1073,56.97,0,False
50272,1012,417.86,0,False
50273,1050,404.52,0,False
50274,1043,440.69,0,False
50275,1010,74.29,0,False
50276,1033,382.72,0,False
50277,1012,463.56,0,False
50278,1022,178.01,0,False
50279,1001,173.06,0,False
50280,1103,176.15,0,False
50281,1060,473.53,0,False
50282,1130,83.64,0,False
50283,1039,368.5,0,False
50284,1162,108.21,0,False
50285,1022,33.3,0,False
50286,1032,134.7,0,False
50287,1179,266.0,0,False
50288,1074,356.94,0,False
50289,1017,283.96,0,False
50290,1081,193.76,0,False
50291,1032,53.33,0,False
50292,1014,92.69,0,False
50293,1190,372.34,0,False
50294,1077,447.48,0,False
50295,1042,230.35,0,False
50296,1096,357.21,0,False
50297,1095,262.5,0,False
50298,1182,7628.73,1,True
50299,1199,28.53,0,False
50300,1173,323.39,0,False
50301,1032,100.85,0,False
50302,1116,243.1,0,False
50303,1126,101.78,0,False
50304,1161,71.62,0,False
50305,1109,174.18,0,False
50306,1147,256.38,0,False
50307,1005,114.8,0,False
50308,1190,94.67,0,False
50309,1044,274.19,0,False
50310,1076,142.68,0,False
50311,1102,303.73,0,False
50312,1189,6592.49,1,True
50313,1191,283.34,0,False
50314,1099,449.79,0,False
50315,1200,379.03,0,False
50316,1010,340.2,0,False
50317,1185,339.82,0,False
50318,1154,14.6,0,False
50319,1171,193.21,0,False
50320,1098,268.14,0,False
50321,1026,361.39,0,False
50322,1159,97.37,0,False
50323,1130,401.15,0,False
50324,1164,290.19,0,False
50325,1061,189.68,0,False
50326,1156,62.91,0,False
50327,1005,402.6,0,False
50328,1179,66.94,0,False
50329,1194,498.13,0,False
50330,1157,106.87,0,False
50331,1057,61.5,0,False
50332,1056,344.67,0,False
50333,1024,444.04,0,False
50334,1054,472.92,0,False
50335,1179,91.89,0,False
50336,1122,152.08,0,False
50337,1182,377.61,0,False
50338,1029,120.49,0,False
50339,1021,28.78,0,False
50340,1002,495.72,0,False
50341,1176,257.09,0,False
50342,1190,324.4,0,False
50343,1129,97.4,0,False
50344,1184,172.39,0,False
50345,1156,384.83,0,False
50346,1092,413.17,0,False
50347,1026,41.63,0,False
50348,1125,459.01,0,False
50349,1037,100.99,0,False
50350,1095,386.67,0,False
50351,1067,178.07,0,False
50352,1006,251.85,0,False
50353,1072,196.05,0,False
50354,1125,204.04,0,False
50355,1088,454.29,0,False
50356,1010,141.1,0,False
50357,1018,103.33,0,False
50358,1054,21.07,0,False
50359,1160,140.96,0,False
50360,1010,324.0,0,False
50361,1078,344.65,0,False
50362,1178,197.29,0,False
50363,1083,297.22,0,False
50364,1032,494.47,0,False
50365,1174,115.13,0,False
50366,1108,182.62,0,False
50367,1078,181.93,0,False
50368,1140,166.59,0,False
50369,1004,355.52,0,False
50370,1062,88.35,0,False
50371,1091,352.49,0,False
50372,1128,169.82,0,False
50373,1197,382.58,0,False
50374,1056,436.97,0,False
50375,1150,319.71,0,False
50376,1072,120.42,0,False
50377,1165,475.63,0,False
50378,1017,246.2,0,False
50379,1117,166.67,0,False
50380,1163,34.07,0,False
50381,1019,224.55,0,False
50382,1048,51.17,0,False
50383,1123,290.31,0,False
50384,1115,371.88,0,False
50385,1009,81.8,0,False
50386,1198,489.42,0,False
50387,1046,237.07,0,False
50388,1039,6700.2,1,True
50389,1066,472.29,0,False
50390,1021,304.87,0,False
50391,1053,339.41,0,False
50392,1014,109.58,0,False
50393,1189,197.61,0,False
50394,1004,360.95,0,False
50395,1003,316.53,0,False
50396,1051,408.33,0,False
50397,1047,465.37,0,False
50398,1035,181.19,0,False
50399,1038,364.16,0,False
50400,1036,287.57,0,False
